504	295	4	887831567
343	1073	4	876405771
70	168	4	884065423
521	202	3	884478530
405	1112	2	885546530
498	538	1	881962988
487	260	2	883441026
510	325	1	887667575
413	275	5	879969557
329	137	5	891655812
303	50	5	879466866
417	325	2	880949231
327	772	3	887822646
200	325	5	876041719
517	1016	1	892607194
535	212	4	879618613
339	5	3	891034953
389	954	4	880614031
399	420	3	882347783
137	260	3	881432735
498	12	4	881957195
378	632	5	880055564
384	289	5	891283502
525	411	3	881086612
132	12	4	891278867
534	237	4	877808002
551	684	5	892783212
538	963	4	877363775
521	161	2	885254116
181	413	2	878963241
174	100	5	886433788
338	216	4	879438196
49	420	4	888067031
498	515	4	881956953
373	409	2	877107235
95	275	3	879192819
524	168	3	884634995
293	810	1	888907674
275	162	3	880315276
295	417	5	879518474
494	126	4	879541476
417	386	3	879648382
311	218	4	884366363
277	925	4	879543592
116	310	4	886309549
328	232	3	885047670
59	11	5	888205744
437	91	3	880143315
551	578	5	892784672
378	720	2	880056798
417	68	3	879647275
452	458	1	875266197
311	228	5	884365325
527	634	5	879456363
321	463	3	879440393
13	110	3	882141130
472	3	5	892790676
435	637	4	884132691
303	250	4	879544712
429	366	3	882387181
84	25	3	883452462
24	421	5	875323712
189	136	4	893265535
194	837	4	879546671
466	651	3	890284819
488	520	4	891293660
494	50	5	879541246
339	649	5	891034007
468	435	4	875292027
360	165	4	880356059
130	477	4	875216593
492	185	3	879969512
18	504	5	880129940
438	845	4	879868042
497	89	4	879310850
487	586	2	884051840
484	258	5	883402900
521	232	3	886063553
459	220	3	879563367
297	283	4	874954387
112	1106	4	892439835
495	404	4	888635380
9	294	4	886959453
497	197	3	879310419
7	446	2	892132020
426	174	3	879442044
69	246	5	882072827
70	183	4	884149894
21	281	2	874951416
521	248	3	884476110
515	292	3	887659805
253	591	3	891628358
472	368	3	875979685
332	333	5	889069499
395	378	5	883764421
308	1154	2	887740367
119	25	5	886177013
84	317	3	883453587
7	380	4	891354053
340	417	5	884991544
56	191	4	892678526
291	946	4	875086887
290	465	3	880474799
551	756	1	892784437
543	135	5	875667109
387	593	3	886480483
506	367	3	874873068
479	1016	3	879460254
3	320	5	889237482
518	1017	3	876823071
20	934	4	879668783
544	326	3	884795580
344	926	2	886381985
488	186	4	891294108
267	144	5	878971463
276	271	4	880913800
361	165	5	879440573
487	202	5	883445943
303	650	5	879483941
537	529	3	886031375
397	177	5	882843746
450	1030	1	882468789
473	7	2	878157329
542	746	4	886532838
435	474	3	884131085
525	300	4	881085217
303	1073	4	879467191
90	174	5	891383866
308	842	3	887740099
60	418	3	883327342
313	485	3	891016425
458	521	4	886397377
345	241	4	884992142
467	340	3	879532198
393	1040	3	887745410
151	638	5	879528819
471	969	2	889828154
426	610	4	879444550
347	276	3	881652657
43	172	4	883955135
506	678	3	879074774
532	312	2	884594422
160	201	5	876858346
